Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bahrain,BHR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38601.03273,41770.64215,43430.27134,47819.42395,46538.77472,47157.21676,47825.87425,47957.06856,48717.18204,48988.57018,49406.29103,48245.77548,47311.74551,47476.98335,47661.39407,47493.1484,46910.19114,47000.31533,46408.83208,44759.39472,44599.80497,44157.47964,45035.97855,46930.83073,48201.15717,48110.73419,47937.70906,47709.77802,46389.26446,45311.86412,41480.57813
"Bahamas, The",BHS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38144.15435,35879.70016,33855.80756,33328.96403,33782.24539,34716.54085,35698.50689,37703.88396,35604.7831,39477.24362,40565.93076,41001.74822,41420.99487,40183.29739,39804.52308,40401.53293,40644.64484,40456.00885,38792.4472,36543.08351,36547.42801,36296.39357,37005.37752,35331.16571,35801.91816,36023.59552,35701.23035,35917.75703,36539.66187,36432.51831,30846.58365
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1653.422879,2053.398208,3946.668617,5344.156797,6180.710388,6757.744814,7604.510472,7779.794731,8162.497374,8471.865151,9002.911267,9350.943744,9856.968568,10441.59949,11035.03823,10755.97078,10938.2847,11176.87646,11257.83471,11725.25049,12066.58667,12630.66194,13194.32498,13753.83162,14386.7314,14896.78956,14509.25931
Belarus,BLR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8895.172702,8784.377365,7923.650356,7305.306909,6458.214559,5805.363156,5988.03971,6698.457879,7293.908216,7575.918326,8053.173638,8477.084011,8961.64112,9660.193688,10839.95627,11940.1866,13214.87158,14417.35353,15942.89768,16014.11553,17300.70368,18274.02072,18611.45421,18805.43087,19119.34615,18362.74559,17883.1265,18356.10077,18974.69981,19279.20925,19186.77581
Belize,BLZ,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4854.975527,5310.136058,5852.828855,6116.242368,6002.792927,5887.262752,5784.201753,5775.287083,5765.631278,6042.650486,6599.320428,6698.158438,6819.462822,7261.117224,7413.87921,7363.84978,7519.413676,7363.402751,7426.870337,7257.734815,7294.663223,7259.644955,7264.639355,7194.621573,7322.882961,7358.618428,7206.9524,7193.63431,7261.694201,7251.886103,6121.843442
Bermuda,BMU,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65961.40628,63958.89625,64385.40741,65967.85001,65904.72042,68313.38185,69643.40752,72403.88044,74677.09242,76772.32385,83181.52634,88231.78386,86364.15374,88727.31127,90195.81156,91114.07699,95615.3607,98257.9927,95855.80069,89961.98274,88399.91595,85829.37826,80982.36776,80503.65029,77361.10488,77842.7539,78149.35254,81834.95587,81422.1346,81804.26568,76626.52661
Bolivia,BOL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4587.429377,4728.047504,4705.587142,4804.539974,4925.10776,5050.31379,5164.250069,5312.081011,5469.469737,5386.179214,5415.526056,5402.75948,5434.083843,5479.266907,5605.201877,5749.531645,5920.709772,6085.386448,6351.226206,6455.968365,6612.803354,6844.983771,7081.386129,7444.490797,7730.638401,7984.411986,8202.544233,8423.697558,8655.531485,8724.474186,7845.171046
Brazil,BRA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10520.74347,10443.95899,10211.29802,10537.27322,10973.25383,11254.11683,11321.3898,11524.111,11387.62349,11272.70673,11600.94838,11602.49953,11800.84089,11786.33368,12316.37419,12565.9414,12922.15549,13564.9942,14114.97477,13962.25888,14873.20832,15323.33139,15478.79284,15805.22291,15749.51216,15064.17607,14451.15284,14524.61354,14668.25616,14763.8717,14063.98251
Barbados,BRB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13984.19252,13388.58911,12579.46817,12632.18974,12836.38128,13042.61573,13505.79813,14086.06561,14548.81834,14537.00203,15124.43624,14713.40354,14778.87225,15050.40346,15210.07184,15752.36013,16612.73457,16903.87296,16946.67096,16019.71463,15596.61681,15444.74632,15335.84805,15088.44135,15041.55475,15382.76569,15738.07866,15789.04116,15674.90432,15639.04784,12655.40095
Brunei Darussalam,BRN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71232.78943,71405.37812,72705.72804,70908.80819,71176.34193,72446.90163,72695.15211,69939.97718,67986.13835,68540.82093,69022.88016,69483.90486,70771.59882,71483.1809,70616.62004,69787.8222,71843.52336,71051.71079,68856.16169,66851.11704,67753.42177,69388.8132,69090.34149,66715.69265,64190.82415,63147.48349,60867.29187,60994.53156,60389.18465,62098.01138,62200.88204
