Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bahrain,BHR,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19143294360,21293086083,22717593194,25641348953,25577245200,26582428774,27674968222,28530954930,29897588467,31183184460,32835915082,33653840688,34780756595,36970706753,39551617223,42228865351,44959806125,48688754662,51729372637,53043239697,55342292397,56440015074,58544160034,61715403402,64400264666,66000855035,68349250017,71282082008,72805167215,74364200163,70582646570
"Bahamas, The",BHS,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9773562237,9364852898,9006592775,9034315634,9318798610,9726845699,10137661986,10834701208,10346749970,11608796690,12090472834,12407867042,12743459020,12582314630,12693383777,13124357170,13454678069,13649331456,13332188252,12775461994,12971997910,13051566090,13454452166,12972261464,13269085916,13480029445,13492316077,13711567829,14090972507,14189955825,12130357326
Bosnia and Herzegovina,BIH,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6508743804,7862562356,14856914330,19966143885,23080861669,25296624324,28525857176,29217128030,30686002841,31872673162,33888704574,35209407710,37115646300,39289556597,41428413672,40183715241,40531573311,40920478316,40584178900,41537848932,42017133855,43315112092,44679454488,46096434290,47820473703,49174272558,47602195586
Belarus,BLR,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90636010186,89548382079,80951736149,74799402711,66047869678,59178890907,60835902604,67771198790,73463973674,75961748164,80367532170,84165143985,88411500624,94638492857,1.05E+11,1.15E+11,1.27E+11,1.38E+11,1.52E+11,1.52E+11,1.64E+11,1.73E+11,1.76E+11,1.78E+11,1.81E+11,1.74E+11,1.69E+11,1.74E+11,1.79E+11,1.82E+11,1.80E+11
Belize,BLZ,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910570079.9,1014958166,1137345114,1208722398,1210637275,1218439674,1235852547,1279659235,1327525071,1444066570,1632077935,1708485877,1789338391,1956348291,2050056224,2089845840,2190690942,2201885688,2278727210,2283682548,2352273576,2397396111,2455455367,2487231040,2587657860,2655916715,2655034057,2703187933,2781744459,2830780992,2434173511
Bermuda,BMU,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3913226389,3774918016,3772662947,3886166044,3909468015,4081451312,4187588451,4380217555,4551046044,4704991867,5143363318,5514839418,5433341640,5618656986,5749081029,5845332495,6169389918,6375764630,6256795679,5904744699,5756956126,5541487978,5247495466,5232817773,5039147650,5078227736,5044853304,5227044137,5204421422,5228356032,4896664930
Bolivia,BOL,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31491964100,33150497040,33696318957,35134913778,36774755221,38495178513,40174085309,42164393356,44284989259,44474037262,45589360528,46356994608,47509227770,48797364803,50833822455,53081406755,55627726705,58166789068,61743172462,63815891539,66449395947,69907483850,73488337955,78482613664,82768211466,86788418466,90489007926,94285208488,98267460721,1.00E+11,91576909124
Brazil,BRA,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57E+12,1.58E+12,1.58E+12,1.65E+12,1.75E+12,1.82E+12,1.86E+12,1.93E+12,1.93E+12,1.94E+12,2.03E+12,2.06E+12,2.12E+12,2.14E+12,2.27E+12,2.34E+12,2.43E+12,2.58E+12,2.71E+12,2.71E+12,2.91E+12,3.03E+12,3.08E+12,3.18E+12,3.19E+12,3.08E+12,2.98E+12,3.02E+12,3.07E+12,3.12E+12,2.99E+12
Barbados,BRB,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3648937306,3506632151,3307016387,3333243276,3400267547,3468748867,3606682874,3777643333,3918491439,3931604884,4106450808,4009314183,4040883586,4128792232,4187074206,4352692152,4609618524,4711126297,4744152749,4503253920,4400289098,4370662427,4350749419,4289553345,4284210831,4389118386,4497911405,4519281463,4493054574,4488735151,3636795228
Brunei Darussalam,BRN,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18428919885,19008682898,19913226441,19973876727,20602134526,21524843837,22144397237,21818615160,21696756263,22358975359,22996076890,23627098557,24541962724,25254650394,25382014206,25480371341,26600926645,26642046839,26125267157,25664277533,26331283315,27317473701,27566838985,26980760126,26303987537,26200774965,25551541320,25891019750,25904544646,26906819939,27211828479
